t.kingdomName,t.rank,n
"""Animalia""","""kingdom""",785
"""Animalia""","""species""",1483748
"""Animalia""","""genus""",331532
"""Animalia""","""subspecies""",38264
"""Animalia""","""order""",13171
"""Animalia""","""form""",4320
"""Animalia""","""class""",24402
"""Animalia""","""phylum""",12058
"""Animalia""","""variety""",42
"""Animalia""","""family""",27107
"""Archaea""","""genus""",9
"""Archaea""","""species""",201
"""Archaea""","""class""",3
"""Archaea""","""kingdom""",2
"""Archaea""","""order""",10
"""Bacteria""","""species""",60786
"""Bacteria""","""genus""",1665
"""Bacteria""","""class""",53
"""Bacteria""","""phylum""",4
"""Bacteria""","""order""",1
"""Bacteria""","""family""",5
"""Bacteria""","""kingdom""",1
"""Bacteria""","""subspecies""",145
"""Chromista""","""species""",19188
"""Chromista""","""genus""",9877
"""Chromista""","""order""",138
"""Chromista""","""family""",4824
"""Chromista""","""class""",3
"""Chromista""","""variety""",13
"""Chromista""","""phylum""",130
"""Chromista""","""form""",2
"""Fungi""","""species""",869811
"""Fungi""","""family""",865
"""Fungi""","""genus""",42897
"""Fungi""","""order""",739
"""Fungi""","""subspecies""",534
"""Fungi""","""variety""",3255
"""Fungi""","""class""",92
"""Fungi""","""form""",5439
"""Fungi""","""kingdom""",1063
"""Fungi""","""phylum""",3
"""Plantae""","""genus""",977059
"""Plantae""","""species""",5796745
"""Plantae""","""subspecies""",189664
"""Plantae""","""variety""",84029
"""Plantae""","""phylum""",218
"""Plantae""","""form""",226
"""Plantae""","""order""",33
"""Plantae""","""class""",27
"""Plantae""","""family""",38783
"""Plantae""","""kingdom""",4571
"""Protozoa""","""species""",9985
"""Protozoa""","""variety""",33
"""Protozoa""","""order""",15
"""Protozoa""","""genus""",2501
"""Protozoa""","""family""",49
"""Protozoa""","""phylum""",311
"""Protozoa""","""subspecies""",6
"""Protozoa""","""kingdom""",49
"""Protozoa""","""class""",3
"""Viruses""","""family""",21
"""Viruses""","""kingdom""",246
"""incertae sedis""","""genus""",105
"""incertae sedis""","""family""",48
